country	offices
Australia	10
Austria	1
Belgium	8
Brazil	2
Canada	14
Chile	1
Colombia	1
Croatia	2
Denmark	2
France	14
Germany	26
Hong Kong	100
Hungary	2
India	2
Italy	6
Japan	56
Kyrgyzstan	1
Macau	12
Madagascar	9
Malaysia	3
Monaco	1
Mongolia	1
New Zealand	1
North Korea	2
Norway	2
Pakistan	1
Peru	1
Romania	1
Russia	4
Singapore	7
South Korea	41
Spain	2
Sweden	1
Switzerland	13
Taiwan	23
Thailand	4
The Netherlands	8
The Philippines	1
Turkey	1
United Arab Emirates	1
United Kingdom	27
United States	138
